"Year","Road.Type","Speed","Junction.Type","Brightness","Wind.Speed","Casualty.Class","Gender","Age","Damage","Severity"
"98","C",62,"3",77535,23,"O","F",31,22804.29,33
"01","U",88,"1",110035,17,"O","M",19,3136.54,1
"02","B",36,"2",86525,20,"P","F",46,25378.57,40
"98","A",88,"4",64751,22,"D","F",39,35204.85,77
"99","U",90,"1",69396,19,"P","F",44,1527.54,0
"99","C",68,"3",85035,23,"O","M",42,23139.57,33
"00","U",40,"4",46543,11,"D","F",50,3411.42,1
"98","U",56,"2",107629,22,"D","F",53,7536.51,4
"01","B",79,"1",70552,20,"P","F",37,30686.8,59
"98","C",88,"4",26212,25,"D","M",72,14788.93,14
"99","A",87,"0",68193,23,"P","F",34,34037.99,72
"02","A",34,"1",42535,22,"O","M",28,30954.46,60
"99","M",131.088748686016,"2",78180,18,"D","F",35,36151.37,82
"01","A",70,"3",60953,22,"D","F",30,31496.29,62
"00","B",33,"1",55425,22,"D","F",77,27362.34,47
"02","C",69,"4",13763,7,"P","F",36,20798.01,27
"02","M",39,"3",106385,21,"D","M",20,35837.64,80
"01","C",60,"3",79276,20,"D","F",24,16355.62,17
"98","U",90,"4",13256,6,"D","M",70,8702.08,5
"99","U",85,"4",106285,7,"O","F",55,7728.33,4
"02","B",47,"1",58785,12,"O","M",53,27365.08,47
"98","M",41,"1",51285,2,"O","F",32,35711.55,80
"02","C",70,"0",43815,11,"D","M",21,15116.68,14
"00","C",54,"3",67535,6,"O","M",69,22466.83,32
"98","C",73,"0",8587,1,"D","M",77,23776.17,35
"02","U",88,"3",110035,14,"O","M",22,7287.01,3
"99","A",84,"4",105035,23,"O","F",35,34456.53,74
"99","C",48,"0",7138,19,"P","M",50,22939.42,33
"98","C",38,"4",47535,2,"O","F",66,20112.55,25
"98","B",55,"2",68785,22,"O","F",71,27700.64,48
"02","C",37,"2",46285,17,"O","F",66,15333.52,15
"98","U",64,"3",53939,9,"P","M",62,1874.84,0
"99","U",69,"0",86285,5,"O","M",55,6787.16,3
"02","U",65,"4",82378,4,"P","M",42,8784.3,5
"02","U",45,"2",2045,8,"D","F",30,11617.68,8
"00","B",69,"2",52248,14,"P","M",60,26214.36,43
"00","B",82,"0",23760,24,"D","M",59,29404.77,54
"02","M",88,"0",110035,8,"O","F",53,37782.55,89
"98","U",70,"1",66773,15,"D","M",66,10658.49,7
"99","A",48,"0",37342,10,"P","F",24,31840.75,63
"99","U",37,"0",46285,3,"O","F",37,6716.55,3
"01","A",90,"1",75582,20,"D","F",42,33573.26,70
"02","B",54,"3",67535,16,"O","F",61,25384.06,40
"99","U",89,"2",72057,25,"D","M",47,11313.06,8
"00","A",45,"2",56285,5,"O","M",43,35402.92,78
"01","A",84,"4",105035,7,"O","M",48,32361.86,65
"98","A",56,"0",56745,20,"P","F",42,33188.94,69
"01","U",40,"0",12890,8,"P","F",65,5395.95,2
"98","M",55,"3",68785,7,"O","M",22,36684.37,84
"99","C",39,"4",4708,22,"P","M",71,13371.99,11
"98","M",36,"1",45035,15,"O","M",23,36637.79,84
"02","U",34,"3",83571,13,"D","M",74,1144.66,0
"98","M",58,"0",22428,5,"P","M",24,38587.58,93
"99","C",84,"2",47196,20,"P","M",33,12924.04,10
"99","U",42,"2",76433,16,"D","M",75,5560.95,2
"02","U",61,"3",76285,6,"O","F",69,1790.84,0
"01","B",68,"0",81623,6,"D","F",77,27474.49,47
"01","U",82,"4",55740,1,"D","F",63,8822.32,5
"99","C",62,"4",44981,21,"P","F",23,21269.5,28
"00","C",67,"3",83785,6,"O","M",54,24414.8,37
"99","C",58,"2",72535,23,"O","M",21,14839.68,14
"99","C",52,"0",65035,11,"O","F",77,23851.06,36
"99","C",81,"2",101285,24,"O","M",66,24282.21,37
"02","U",46,"2",106282,22,"P","F",74,1979.85,0
"01","U",54,"2",45268,19,"D","F",67,12327.45,9
"02","U",32,"2",85101,23,"D","M",61,4867.28,1
"98","B",89,"3",100945,13,"P","F",39,29056.91,53
"02","C",86,"0",100587,9,"D","M",52,12633.1,10
"99","U",89,"3",111285,17,"O","M",42,8120.42,4
"02","C",50,"1",38465,16,"D","F",73,23016.01,33
"01","C",76,"4",95035,18,"O","F",55,20235.49,26
"98","M",33,"3",91582,25,"D","F",30,35921.79,81
"99","A",67,"3",34379,14,"P","F",57,31873.54,63
"98","U",45,"0",56285,14,"O","M",44,6291.59,2
"01","C",65,"3",92861,17,"P","M",21,20895.79,27
"01","A",76,"4",83293,13,"D","F",24,33821.73,71
"99","A",62,"0",59003,25,"D","F",66,35282.78,78
"98","M",80,"3",43717,16,"D","F",67,38920.23,95
"98","C",44,"0",21507,15,"P","F",44,18299.79,21
"01","A",81,"1",52577,6,"D","F",65,32140.21,65
"01","U",47,"3",45174,6,"P","M",53,3154.77,1
"98","U",74,"0",4338,12,"D","M",28,6393.89,3
"98","B",32,"1",24084,22,"D","M",19,26522.45,44
"01","U",35,"1",112624,5,"P","F",58,9422.19,6
"00","C",44,"4",92902,2,"P","M",76,16293.38,17
"98","B",62,"2",2331,17,"D","F",49,27702.53,48
"98","C",66,"3",89949,17,"D","F",58,18997.06,23
"02","C",48,"0",60035,22,"O","M",21,14335.88,13
"02","C",74,"3",92535,5,"O","M",66,13572.24,12
"98","M",38,"2",47535,16,"O","F",75,36355.89,83
"98","M",51,"3",106013,8,"D","F",37,37137.64,86
"98","B",31,"4",109069,5,"P","F",50,26062.46,42
"02","C",75,"2",119521,17,"D","M",57,13352.38,11
"99","B",88,"3",20558,12,"P","F",38,26358.6,43
"99","B",49,"4",117660,21,"D","F",35,26309.09,43
"02","C",73,"2",82366,22,"D","M",48,12432.6,10
"99","C",48,"3",118546,2,"D","M",42,21993.25,30
"02","B",49,"2",61285,9,"O","M",50,25752.43,41
"99","U",31,"0",115678,8,"P","M",71,7970.96,4
"00","U",62,"1",77535,8,"O","M",37,10884.25,7
"00","C",62,"3",77535,7,"O","M",57,24904.78,39
"02","C",76,"2",95035,23,"O","M",48,13188.08,11
"99","C",61,"4",89143,14,"D","F",48,18416.62,21
"02","B",49,"1",95414,2,"P","M",62,30588.72,58
"02","B",52,"2",12728,18,"P","F",49,29272.06,54
"98","B",67,"0",83197,22,"D","M",44,29123.26,53
"01","U",135.538207872305,"0",48385,14,"D","M",32,6326.69,3
"01","A",42,"2",52535,13,"O","M",30,34597.12,75
"02","B",87,"4",108785,3,"O","M",63,30661.6,59
"02","M",73,"0",91285,11,"O","M",21,39287.56,96
"00","C",42,"3",104816,11,"D","M",43,13237.57,11
"98","A",135.131273909938,"1",105838,1,"D","M",76,33380.32,70
"00","A",83,"3",103785,9,"O","F",22,33648.66,71
"02","C",37,"1",91007,19,"D","M",68,15376.19,15
"00","U",74,"0",45326,16,"P","M",57,10720.84,7
"01","B",66,"2",70785,16,"P","M",38,30505.24,58
"98","B",83,"3",103785,7,"O","F",49,27761.45,48
"02","U",45,"0",56285,11,"O","M",45,8362.75,4
"98","U",87,"4",71858,5,"D","F",36,5065.81,2
"98","M",34,"1",99273,11,"D","F",36,39903.98,100
"00","C",89,"2",38565,22,"P","M",34,13029.54,11
"02","U",33,"1",41285,25,"O","M",66,8757.7,5
"98","U",83,"2",103785,25,"O","M",49,2441.45,0
"98","C",43,"3",27326,21,"D","M",58,23727.8,35
"99","A",86,"3",50550,18,"P","M",44,31314.32,61
"02","C",90,"0",113900,12,"D","F",40,16010.48,16
"99","C",69,"3",39931,23,"P","M",39,17033.29,18
"99","B",62,"2",97161,17,"D","F",38,30677.08,59
"01","C",76,"1",32100,17,"D","M",69,20642.9,27
"98","U",44,"1",110505,15,"D","M",55,3806.95,1
"99","U",53,"0",64904,1,"P","M",18,9192.54,5
"00","M",59,"4",73785,3,"O","F",67,37442.62,88
"02","M",31,"3",9320,12,"P","F",73,37178.11,86
"98","B",73,"4",91285,8,"O","M",73,25339.9,40
"98","B",66,"2",21541,2,"D","F",45,27344.29,47
"02","U",44,"1",72268,5,"P","F",33,4311.83,1
"02","C",42,"4",68975,25,"P","M",53,23269.91,34
"01","B",87,"3",108785,20,"O","M",69,26526.23,44
"00","U",37,"2",82632,1,"D","F",38,11670.36,9
"01","C",33,"3",41285,24,"O","F",63,18341.14,21
"00","C",36,"2",63338,6,"P","M",38,16928.71,18
"00","M",72,"4",68249,7,"P","M",26,35685.98,80
"01","C",46,"2",79417,7,"D","M",58,17380.32,19
"01","B",81,"1",19573,2,"P","F",76,30588.26,58
"98","B",85,"4",106285,22,"O","M",30,30842.79,59
"02","C",83,"4",103785,7,"O","F",60,12697.41,10
"01","B",39,"3",117162,22,"P","M",60,28770.63,52
"01","C",71,"3",45142,22,"D","F",60,20062.55,25
"98","M",48,"2",58080,19,"D","M",18,37217.66,87
"99","B",65,"4",81285,19,"O","M",39,30110.89,57
"01","M",72,"4",90035,1,"O","M",19,39877.87,99
"99","M",71,"2",100374,15,"D","F",56,36252.41,82
"00","C",48,"0",60035,11,"O","F",66,16779.58,18
"98","C",85,"1",118702,5,"P","F",42,12369.16,10
"00","M",38,"3",47535,16,"O","F",68,38121.74,91
"00","C",39,"4",74276,8,"P","M",76,13979.46,12
"01","A",68,"1",77804,8,"P","M",74,34579.29,75
"00","U",32,"2",24607,19,"D","M",74,10511.7,7
"99","C",53,"3",10935,5,"D","M",56,15868.39,16
"98","M",63,"1",46947,14,"P","F",49,39349.83,97
"01","U",37,"3",7499,24,"D","M",34,12129.38,9
"01","U",65,"4",81285,19,"O","M",23,10930.74,7
"99","U",77,"4",118419,12,"D","M",56,10682.89,7
"98","U",56,"3",65158,18,"P","M",69,6526.94,3
"01","C",34,"2",42535,10,"O","F",39,20849.31,27
"99","B",72,"2",61835,11,"D","M",29,28233.71,50
"99","B",36,"1",45035,14,"O","M",30,26043.52,42
"98","C",81,"3",12669,8,"D","F",29,23171.2,34
"99","C",69,"2",86285,4,"O","M",44,14828.55,14
"98","C",60,"4",75035,20,"O","F",53,12364.48,10
"98","C",88,"1",36525,24,"P","M",20,15070.83,14
"99","M",35,"3",119936,17,"P","M",20,36494.1,83
"99","U",63,"0",78785,22,"O","F",37,3033.28,1
"98","U",34,"0",26759,6,"P","M",51,3529.44,1
"00","C",77,"1",100009,23,"D","F",27,12397.65,10
"01","B",67,"4",92260,5,"P","M",21,29242.51,53
"00","M",59,"0",54325,20,"D","F",42,38826.35,94
"99","M",63,"3",78785,5,"O","M",25,39275.93,96
"01","U",61,"4",59622,14,"P","F",32,8264.58,4
"99","C",76,"0",59022,21,"P","F",37,15757.36,16
"99","B",73,"4",117120,3,"D","M",42,29982.83,56
"02","U",42,"0",52535,11,"O","F",63,7652.77,4
"01","B",33,"0",105426,22,"P","F",62,25937.24,42
"00","C",51,"0",63785,17,"O","M",49,23076.19,33
"00","B",50,"4",109261,4,"P","F",20,25438.62,40
"98","U",69,"3",86285,10,"O","F",56,6406.77,3
"02","C",32,"4",111848,19,"D","F",44,23877.82,36
"98","C",70,"2",13785,22,"P","M",19,13368.79,11
"00","C",46,"2",87864,17,"D","F",61,20544.99,26
"98","M",68,"3",85035,6,"O","F",63,36460.3,83
"99","C",63,"1",20452,19,"P","F",76,16814.1,18
"02","B",90,"3",112535,15,"O","M",67,29592.69,55
"02","C",59,"1",73785,5,"O","F",64,21560.53,29
"00","U",30,"3",12933,8,"D","F",40,2122.37,0
"02","A",56,"2",49983,3,"D","F",62,35641.67,79
"98","U",90,"4",62054,11,"D","F",46,9395.94,6
"98","M",62,"3",77535,15,"O","F",41,37520.69,88
"99","U",72,"3",26768,10,"P","F",71,8866.6,5
"99","U",76,"3",62582,5,"P","F",23,4752.97,1
"98","A",56,"2",70035,23,"O","F",49,34879.4,76
"02","A",87,"2",78603,18,"D","F",32,31427.85,62
"02","C",89,"2",111285,9,"O","M",21,18293.96,21
"99","C",59,"2",73785,6,"O","F",67,23170.07,34
"99","B",72,"4",85599,23,"D","M",38,25992.17,42
"01","M",67,"0",103925,21,"D","F",19,37171.18,86
"02","C",33,"4",105176,8,"P","F",75,12850.54,10
"01","C",85,"1",106285,18,"O","M",76,14671.97,13
"01","B",37,"3",46285,12,"O","M",23,29802.19,56
"00","C",37,"3",33942,17,"P","F",20,22657.38,32
"00","U",75,"2",118451,7,"D","M",58,2570.27,0
"01","C",50,"1",32209,16,"P","F",60,18979.93,23
"00","C",66,"2",32841,13,"D","M",73,20194.21,25
"02","U",53,"2",95387,6,"D","F",54,775.99,0
"02","B",33,"4",58254,9,"D","M",40,29086.12,53
"01","U",83,"1",74367,16,"P","F",44,1515.14,0
"01","M",82,"2",34670,9,"D","M",25,37936.53,90
"98","U",82,"4",68055,17,"P","F",64,11216.04,8
"98","U",38,"2",110672,14,"D","M",47,1735.33,0
"00","C",66,"1",82535,20,"O","M",21,18783.3,22
"01","A",56,"4",4811,18,"P","M",37,34145.05,73
"00","B",39,"2",111336,25,"D","F",64,26529.84,44
"02","C",57,"2",61352,9,"D","M",67,13981.67,12
"01","U",61,"2",76285,22,"O","F",38,2989.99,1
"99","M",84,"1",34942,19,"D","F",75,38349.86,92
"00","B",51,"2",63785,19,"O","F",71,25639.66,41
"01","U",46,"4",74881,22,"D","M",77,5172.7,2
"98","U",83,"2",106921,2,"D","M",33,4920.68,2
"00","B",66,"2",28821,6,"P","F",63,29779.26,55
"99","M",54,"3",67535,12,"O","M",22,36507.31,83
"98","C",69,"2",86285,24,"O","F",56,24864.37,39
"98","U",84,"4",39855,10,"D","M",65,10081.73,6
"99","A",78,"2",56684,19,"D","F",40,31436.57,62
"98","B",85,"1",106285,11,"O","M",58,26221.66,43
"02","M",34,"3",42535,20,"O","M",27,38737.05,94
"98","U",89,"2",50183,10,"D","M",72,7141.57,3
"01","U",70,"0",87535,18,"O","F",41,9097.58,5
"00","C",49,"2",32493,8,"P","F",48,13315.2,11
"02","B",44,"4",55035,22,"O","M",79,30514.28,58
"98","U",30,"2",14672,8,"D","F",80,5788.64,2
"02","M",84,"3",29293,17,"D","F",71,39752.06,99
"01","C",53,"1",66285,24,"O","M",65,23952.82,36
"99","U",63,"3",78785,19,"O","F",46,9762.05,6
"01","C",134.057289843913,"2",43785,21,"O","F",77,16302.12,17
"02","U",77,"4",96285,16,"O","F",36,6944.49,3
"00","M",67,"0",83785,2,"O","M",18,36139.46,82
"98","C",71,"0",88785,20,"O","F",21,16009.03,16
"00","U",74,"0",50244,11,"P","M",79,6990.48,3
"00","C",62,"1",16589,18,"P","F",41,18801.64,22
"99","A",41,"3",51285,24,"O","F",27,32043.38,64
"00","U",57,"3",113733,20,"P","M",46,9546.09,6
"01","U",44,"2",33854,6,"D","F",32,2644.75,0
"02","U",58,"3",16563,15,"P","M",24,10061.02,6
"98","C",38,"3",88195,19,"P","F",45,16871.59,18
"02","C",63,"1",8877,24,"D","F",71,21294.75,28
"99","B",64,"0",5899,9,"P","M",41,27287.59,47
"00","C",65,"1",81285,2,"O","F",41,23189.12,34
"02","C",54,"1",16135,1,"P","F",67,13613.62,12
"98","M",35,"3",113394,12,"D","M",28,39550.06,98
"00","A",33,"4",61962,6,"P","F",27,34359.14,74
"01","U",61,"0",35685,24,"D","F",38,10003.4,6
"02","U",72,"3",36159,20,"D","F",66,5105.59,2
"98","A",64,"0",107866,19,"D","F",70,32946.01,68
"98","C",56,"0",94679,4,"P","M",31,14276.24,13
"99","A",35,"2",43785,9,"O","M",23,33052.31,68
"01","U",30,"1",110719,19,"D","M",76,10359.37,7
"01","U",64,"4",82644,6,"P","M",37,4008,1
"01","C",70,"0",99655,13,"D","F",39,25036.41,39
"98","A",71,"2",88785,22,"O","M",25,31331.83,61
"99","A",39,"2",68389,21,"D","M",64,34723.78,75
"98","U",32,"2",114474,9,"D","F",72,1269.47,0
"01","U",43,"4",53785,10,"O","M",77,4473.63,1
"98","U",61,"1",5959,20,"D","M",53,9836.57,6
"02","C",30,"4",112104,12,"D","M",69,16254.7,17
"99","B",89,"3",13217,6,"D","M",66,25799.57,42
"99","U",50,"2",62535,21,"O","F",62,10549.27,7
"01","U",53,"3",106599,13,"D","F",62,2049.61,0
"98","U",78,"2",11211,17,"D","F",64,2967.19,1
"01","M",60,"2",75035,17,"O","F",44,36508.73,83
"99","A",38,"0",47535,15,"O","F",59,32616.96,66
"00","U",81,"1",43535,24,"P","M",36,12285.58,9
"01","U",72,"2",105896,13,"P","F",59,1372.9,0
"98","U",71,"3",99958,22,"D","F",77,8105.06,4
"99","U",62,"4",77535,20,"O","F",43,6885.39,3
"99","M",42,"1",26232,11,"P","M",18,39399.32,97
"98","U",37,"2",17224,15,"P","M",70,4170.8,1
"98","A",60,"1",75035,19,"O","F",37,35092.1,77
"98","A",57,"1",37991,15,"D","M",41,31435.86,62
"01","U",73,"3",39966,21,"P","F",34,2008.71,0
"02","M",51,"4",63785,7,"O","M",23,38576.44,93
"00","C",67,"4",5924,17,"P","F",32,16602.56,17
"01","C",84,"3",103705,11,"P","F",50,18045.1,20
"02","U",66,"3",2220,25,"D","F",36,12170.03,9
"02","C",86,"0",14806,5,"D","F",53,21592.77,29
"99","U",71,"3",79223,19,"D","M",73,4272.53,1
"01","B",59,"1",73785,22,"O","M",22,25533.9,41
"99","C",75,"4",17385,7,"P","M",26,14791.32,14
"01","B",76,"3",63694,4,"P","F",50,26817,45
"02","U",31,"0",44213,11,"D","M",64,8797.22,5
"99","U",38,"0",47535,11,"O","F",39,1138.64,0
"02","B",85,"2",106285,13,"O","M",26,27329.54,47
"98","U",45,"2",64260,8,"P","M",61,7425.24,3
"01","U",42,"0",67897,4,"P","M",46,7351.36,3
"99","B",63,"3",78785,3,"O","F",37,28896.57,52
"02","C",36,"4",45621,24,"D","F",26,15815.74,16
"00","U",66,"3",82535,16,"O","F",22,6560.73,3
"00","U",40,"2",80482,15,"D","M",26,1453.5,0
"01","C",66,"0",63241,10,"P","M",26,21837.21,30
"99","B",87,"4",108785,2,"O","M",73,29087.32,53
"00","M",72,"0",5256,19,"D","M",23,36579.59,84
"98","A",64,"0",93826,15,"P","F",54,31116.95,61
"02","C",39,"0",48785,17,"O","F",24,24288.4,37
"02","U",42,"0",52535,24,"O","M",36,3936.49,1
"00","M",43,"3",53785,23,"O","M",27,39903.07,100
"01","C",132.565527851693,"4",77535,22,"O","M",38,15613.79,15
"99","U",79,"4",98785,18,"O","F",61,9435.05,6
"99","U",61,"3",4424,3,"P","M",75,8130.55,4
"02","B",38,"4",118170,25,"D","M",22,28405.97,50
"02","C",63,"1",13584,15,"D","M",54,17164.03,18
"02","U",38,"2",86299,3,"P","M",50,5077.27,2
"98","C",61,"1",102862,5,"P","M",69,24138.67,36
"99","C",48,"4",96859,5,"D","M",76,18013.7,20
"99","U",31,"1",38785,24,"O","F",35,1705.21,0
"00","C",44,"1",49901,8,"P","F",51,21094.16,28
"02","A",77,"0",109898,22,"D","F",22,30872.43,60
"00","U",62,"1",18604,16,"D","F",46,4481.01,1
"98","C",38,"3",47535,20,"O","F",43,23835.46,36
"01","C",33,"0",1085,7,"P","F",66,16377.32,17
"00","C",89,"2",111285,20,"O","M",55,18717.65,22
"02","C",50,"3",62535,13,"O","M",29,22837.74,33
"00","C",60,"3",52392,1,"D","F",75,13390.54,11
"02","M",31,"0",26494,9,"D","M",29,36564.74,84
"98","B",52,"2",65035,24,"O","M",77,26386.58,44
"99","U",46,"4",57535,13,"O","M",75,3942.88,1
"99","A",51,"0",71018,16,"D","F",47,32634.31,67
"99","C",44,"2",95982,9,"P","F",50,19386.51,23
"98","M",47,"1",66608,6,"P","F",73,37691.82,89
"00","C",75,"4",92694,2,"D","M",55,17557.18,19
"01","C",57,"1",46293,22,"D","F",72,21042.33,28
"01","C",72,"4",91279,21,"P","M",19,12731.78,10
"99","U",73,"3",114256,19,"D","M",63,6908.06,3
"01","M",34,"2",4146,17,"P","F",74,36321.32,82
"98","B",46,"0",91605,5,"D","M",72,26218.03,43
"99","U",39,"3",86066,11,"P","M",38,10033.9,6
"99","B",83,"0",103785,17,"O","F",57,28893.6,52
"99","M",56,"2",73757,3,"P","F",24,36765.6,84
"98","C",56,"2",79831,9,"P","M",64,19177.15,23
"98","U",84,"0",39785,12,"P","F",64,12301.54,9
"01","U",41,"0",92109,19,"P","F",67,6142.25,2
"02","M",83,"1",26537,8,"P","M",26,35811.18,80
"02","C",70,"2",87535,16,"O","M",38,13803.2,12
"99","C",85,"4",90774,16,"D","M",31,20797.63,27
"02","C",39,"0",87865,9,"D","F",53,17950.19,20
"99","C",77,"1",96285,22,"O","F",36,21907.2,30
"00","C",80,"1",101623,22,"D","F",57,13545.38,11
"99","C",61,"4",76285,3,"O","F",74,21578.02,29
"98","B",90,"4",26830,24,"D","M",79,30146.25,57
"99","C",76,"2",39552,2,"P","F",18,19552.59,24
"00","U",53,"1",71160,19,"P","F",36,3334.41,1
"00","U",46,"4",117459,4,"P","F",51,2387.07,0
"00","C",75,"3",23171,7,"P","M",27,21524.81,29
"02","C",59,"4",26262,22,"P","F",21,13733.92,12
"99","A",84,"4",55843,4,"D","F",23,32691.98,67
"02","U",84,"4",57921,23,"P","F",61,3399.65,1
"01","M",40,"1",50035,14,"O","M",29,39844.23,99
"00","A",58,"0",49763,9,"P","M",39,33616.73,71
"99","U",61,"2",76285,18,"O","M",76,9824.06,6
"99","C",73,"4",32508,6,"P","F",31,14630.79,13
"98","A",65,"0",81285,9,"O","M",29,32812.4,67
"99","U",60,"0",20501,9,"D","F",73,11247.93,8
"02","U",34,"4",8503,11,"D","M",49,10792.39,7
"00","C",51,"3",85321,7,"P","M",30,23738.57,35
"00","U",36,"1",41040,13,"D","M",70,11012.25,8
"98","B",40,"0",50035,23,"O","F",74,27281.87,47
"99","U",85,"2",73481,13,"P","F",49,922.75,0
"02","U",38,"2",47535,22,"O","F",38,3720.45,1
"98","C",44,"3",17539,13,"D","F",72,23847.44,36
"02","C",32,"1",49255,11,"D","F",69,15390.95,15
"01","C",35,"3",43785,14,"O","F",33,19488.68,24
"98","C",32,"1",49285,19,"P","F",38,22308.75,31
"00","B",44,"2",32280,18,"D","M",35,26521.42,44
"98","A",58,"3",72535,17,"O","M",36,33558.25,70
"01","C",62,"3",77535,23,"O","F",22,20860.75,27
"98","M",69,"1",80381,8,"D","M",19,39847.93,99
"01","A",77,"3",103424,23,"D","F",80,32628.16,67
"00","C",65,"2",76002,21,"D","M",72,17746.47,20
"00","M",38,"0",114752,8,"P","M",23,39177.49,96
"98","U",60,"2",26869,14,"D","F",50,2755.54,0
"01","A",88,"4",68443,21,"D","F",49,35532.36,79
"01","U",74,"3",16509,11,"D","F",61,6799.34,3
"01","C",31,"1",38785,14,"O","M",38,12577.02,10
"98","A",75,"0",93785,6,"O","M",68,34973.87,76
"01","B",40,"3",50035,21,"O","F",53,26893.65,45
"01","C",85,"1",22792,19,"P","F",79,15847.84,16
"98","C",88,"4",110035,15,"O","F",48,20400.68,26
"00","C",88,"2",110035,13,"O","F",76,24955.07,39
"00","A",59,"0",43773,8,"P","F",30,31175.56,61
"02","U",31,"2",14379,6,"P","F",18,11677.3,9
"99","B",66,"0",82535,7,"O","F",57,26735,45
"00","C",47,"2",58785,17,"O","F",28,17422.06,19
"02","C",70,"0",87535,8,"O","M",62,12563.71,10
"00","B",50,"4",13052,4,"P","M",46,30614.88,59
"01","A",76,"3",74053,24,"D","F",37,31493.56,62
"01","C",88,"3",21540,3,"P","F",52,23560.8,35
"00","C",41,"3",54960,8,"D","F",32,24805.52,38
"99","M",43,"4",86792,21,"P","F",30,39894.58,99
"98","M",78,"1",97535,4,"O","M",23,35885.72,80
"02","U",82,"3",84615,14,"D","M",63,7317.27,3
"99","M",64,"2",80035,23,"O","M",23,39345.52,97
"00","C",71,"3",101509,17,"D","F",47,13602.74,12
"00","C",44,"0",103213,7,"P","F",28,24056.37,36
"98","U",64,"0",94912,9,"P","M",22,11924.61,9
"98","M",63,"4",14904,2,"P","F",20,38395.68,92
"01","A",44,"3",65560,18,"D","F",77,33385.35,70
"01","U",68,"4",39099,8,"D","F",36,7999.34,4
"98","U",48,"1",28488,18,"P","F",22,2303,0
"02","C",63,"3",82725,12,"P","F",56,14483.24,13
"02","U",35,"0",28629,24,"P","M",25,8914.72,5
"00","U",38,"0",102858,23,"P","F",43,3734.22,1
"00","C",70,"3",47073,12,"D","F",72,12536.3,10
"00","C",67,"1",83785,5,"O","F",79,12911.25,10
"00","C",86,"3",107535,8,"O","M",27,23344.02,34
"00","C",36,"3",45035,13,"O","F",33,19544.17,24
"00","C",64,"2",80035,19,"O","F",60,22421.38,31
"00","A",77,"0",96285,6,"O","F",50,32040.45,64
"99","C",88,"4",47226,21,"D","F",45,24929.51,39
"99","U",69,"4",86285,15,"O","M",62,670.52,0
"00","C",80,"4",38497,19,"D","M",21,16421.75,17
"98","M",66,"2",24763,8,"D","F",63,38168.31,91
"98","U",37,"4",46285,2,"O","M",70,9821.05,6
"01","B",43,"3",69022,1,"D","M",67,27873.99,49
"01","C",52,"1",77347,9,"P","F",47,19113.56,23
"99","C",82,"1",38912,19,"P","F",59,22402.15,31
"02","C",57,"0",71285,16,"O","M",20,24441.7,37
"98","B",46,"2",57535,10,"O","F",75,26601.77,44
"99","B",67,"2",83785,22,"O","M",60,26278.52,43
"00","C",68,"3",119486,18,"D","F",44,19600.24,24
"99","C",37,"2",53635,22,"D","M",39,16680.12,17
"02","A",59,"2",36735,10,"D","F",55,32679.48,67
"02","U",53,"0",66285,4,"O","F",20,9174.33,5
"01","C",47,"3",88818,2,"D","F",36,23405.52,34
"02","B",40,"2",50035,10,"O","M",71,30651.3,59
"98","U",90,"2",2357,22,"P","M",42,10529.62,7
"01","U",77,"1",85423,2,"D","F",71,5694.43,2
"00","C",77,"0",96285,25,"O","M",51,17711.6,20
"01","A",66,"3",19417,13,"D","M",23,31855.81,63
"98","B",46,"3",48994,23,"P","F",61,28418.3,50
"01","C",54,"3",76147,24,"P","F",48,23849.62,36
"98","U",34,"1",42535,6,"O","F",30,1676.22,0
"99","A",68,"3",85035,2,"O","M",63,33666.55,71
"99","M",75,"2",93785,14,"O","M",25,39294.81,97
"02","U",42,"0",62582,24,"P","F",43,1277.02,0
"98","C",53,"3",66285,19,"O","M",60,15374.38,15
"00","C",52,"1",65035,25,"O","M",25,13021.4,11
"00","A",79,"0",66807,10,"P","F",79,35580.12,79
"99","A",80,"4",90584,7,"P","M",22,35067.72,77
"98","C",89,"4",111285,9,"O","M",29,18593.11,22
"01","A",31,"2",118111,8,"D","M",40,31201.13,61
"99","C",53,"0",39392,6,"D","M",24,17383.19,19
"01","B",36,"1",45300,23,"D","M",57,27078.25,46
"00","B",36,"4",112929,5,"P","F",77,29282.34,54
"01","U",74,"4",87695,23,"P","M",56,4722.91,1
"99","U",75,"3",83246,19,"D","M",34,6208.64,2
"00","U",132.689589210786,"2",23277,7,"D","M",30,6661.41,3
"02","C",81,"3",101285,8,"O","M",36,24882.25,39
"98","U",66,"1",82535,11,"O","M",32,4446.08,1
"02","B",61,"1",84284,5,"P","M",37,25158.93,40
"01","C",71,"1",17700,21,"D","F",57,19404.01,24
"00","C",77,"0",42241,6,"D","M",73,20243.67,26
"99","C",84,"1",44394,20,"D","F",70,15179.62,14
"98","U",50,"3",88680,21,"D","M",41,580.53,0
"98","C",62,"2",109915,19,"P","F",53,14408.69,13
"99","U",48,"4",75139,24,"D","F",70,6526.63,3
"98","U",45,"3",56285,3,"O","F",26,5789.15,2
"99","M",51,"4",42840,2,"D","M",29,37211.92,87
"98","A",52,"4",65035,25,"O","M",72,34711.11,75
"99","M",83,"0",33218,20,"D","F",61,39856.54,99
"99","C",59,"0",75634,22,"P","M",43,19655.88,24
"98","A",61,"1",74591,23,"P","M",29,34114.33,73
"02","B",80,"2",15454,3,"P","M",19,30028.14,56
"02","B",48,"0",5612,22,"P","F",58,27415.66,47
